,count,mean,std,min,25%,50%,75%,max
age,1000.0,29.5,22.34711152237339,0.0,0.0,34.0,46.0,90.0
income,1000.0,4.249,3.12486219916396,0.0,0.0,5.0,7.0,9.0
numHandsets,1000.0,1.759,1.2986938074871963,1.0,1.0,1.0,2.0,21.0
handsetAge,1000.0,389.802,261.9112259646124,-1.0,213.75,338.0,506.0,1812.0
currentHandsetPrice,1000.0,35.76583000000019,58.49454382905162,0.0,0.0,0.0,39.99,499.99
avgBill,1000.0,58.72939999999997,44.5089319560003,0.0,33.1225,49.25,71.8625,503.91
avgMins,1000.0,517.8685,532.2383508781528,0.0,148.625,361.625,717.75,6103.75
avgrecurringCharge,1000.0,46.459449999999975,23.1866115927846,0.0,30.0,44.99,59.99,200.15
avgOverBundleMins,1000.0,41.982169999999996,109.9154526466667,0.0,0.0,3.5,45.1875,1912.5
avgRoamCalls,1000.0,1.3011500000000007,6.097038334630515,0.0,0.0,0.0,0.29,77.31
callMinutesChangePct,1000.0,-0.32729659999999944,5.0729461682551396,-29.765,-1.86375,-0.1475,1.16,44.005
billAmountChangePct,1000.0,-0.02024499999999999,0.7176526765637951,-5.568,-0.13529999999999998,-0.0054,0.033949999999999994,4.8744
avgReceivedMins,1000.0,108.7236700000001,168.70902420819186,0.0,6.7125,46.01,144.4175,1817.74
avgOutCalls,1000.0,25.649050000000013,37.464369731745066,0.0,2.67,12.33,34.415,418.33
avgInCalls,1000.0,8.33753,17.790786623637214,0.0,0.0,1.67,8.33,208.33
peakOffPeakRatio,1000.0,2.0063659478420006,2.6728566947868186,0.0,0.73477823475,1.291600656,2.3689700697500005,38.39393939
peakOffPeakRatioChangePct,1000.0,0.5572095111849993,9.842107840555753,-33.32011207,-5.9439323145,0.6563162695,7.258809418499999,31.693224400000002
avgDroppedCalls,1000.0,9.73331,16.378817539978503,0.0,1.67,5.0,11.67,304.67
lifeTime,1000.0,18.59,9.535136014699455,6.0,11.0,16.0,25.0,60.0
lastMonthCustomerCareCalls,1000.0,1.9055199999999977,4.794450676238845,0.0,0.0,0.0,1.33,78.67
numRetentionCalls,1000.0,0.057,0.2642362973189322,0.0,0.0,0.0,0.0,3.0
numRetentionOffersAccepted,1000.0,0.026,0.1770744345052516,0.0,0.0,0.0,0.0,3.0
newFrequentNumbers,1000.0,0.197,0.6454514757962899,0.0,0.0,0.0,0.0,3.0
